"No.","Time","Source","Destination","Protocol","Length","Channel frequency","Data rate (Mb/s)","Channel","Channel","Transmitter address","Destination address","Type/Subtype","Info"
"126330","158.808957","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1893, FN=0, Flags=....R...C"
"126331","158.809471","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1893, FN=0, Flags=....R...C"
"126332","158.810037","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1893, FN=0, Flags=....R...C"
"126333","158.810569","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1893, FN=0, Flags=....R...C"
"126334","158.811198","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1893, FN=0, Flags=....R...C"
"126335","158.811720","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1893, FN=0, Flags=....R...C"
"126336","158.812254","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1893, FN=0, Flags=....R...C"
"126337","158.812960","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1893, FN=0, Flags=....R...C"
"126338","158.813625","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1893, FN=0, Flags=....R...C"
"126339","158.814159","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1893, FN=0, Flags=....R...C"
"126561","159.057229","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=........C"
"126562","159.057746","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126563","159.058389","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126564","159.058978","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126565","159.059473","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126566","159.060612","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126567","159.062413","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126568","159.063227","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126569","159.063657","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126570","159.064173","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126571","159.064725","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126572","159.065352","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126573","159.065942","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126574","159.066464","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126575","159.067061","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126576","159.067561","YulongCo_ff:b8:79","6c:3f:23:e3:70:2e","802.11","59","2412","1","1","1","d0:37:42:ff:b8:79","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=2874, FN=0, Flags=....R...C"
"126877","159.400458","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=........C"
"126878","159.401141","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126879","159.401541","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126880","159.402210","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126881","159.402728","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126882","159.403258","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126883","159.403790","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126884","159.404310","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126885","159.404841","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126886","159.405377","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126887","159.406026","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126888","159.406635","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126889","159.407273","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126890","159.407906","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126891","159.408498","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"126892","159.409153","SamsungE_ed:28:4d","6c:3f:23:e3:70:48","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:48","Authentication","Authentication, SN=1894, FN=0, Flags=....R...C"
"128233","160.877749","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1861, FN=0, Flags=........C"
"128235","160.880127","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1861, FN=0, Flags=....R...C"
"128258","160.904270","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1861, FN=0, Flags=....R...C"
"128270","160.919485","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1861, FN=0, Flags=....R...C"
"128307","160.957336","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1861, FN=0, Flags=....R...C"
"128374","161.032394","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1861, FN=0, Flags=....R...C"
"128434","161.098700","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1861, FN=0, Flags=....R...C"
"128466","161.135631","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1862, FN=0, Flags=........C"
"128472","161.141770","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1862, FN=0, Flags=....R...C"
"128483","161.153071","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1862, FN=0, Flags=....R...C"
"128487","161.157014","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1862, FN=0, Flags=....R...C"
"128509","161.182494","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1862, FN=0, Flags=....R...C"
"128531","161.206144","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1862, FN=0, Flags=....R...C"
"128585","161.262451","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1862, FN=0, Flags=....R...C"
"128599","161.304735","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1863, FN=0, Flags=........C"
"128601","161.306536","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1863, FN=0, Flags=....R...C"
"128609","161.314944","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1863, FN=0, Flags=....R...C"
"128630","161.336297","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1863, FN=0, Flags=....R...C"
"128641","161.347572","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1863, FN=0, Flags=....R...C"
"128674","161.383130","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1863, FN=0, Flags=....R...C"
"128753","161.497731","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1864, FN=0, Flags=........C"
"128755","161.499886","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1864, FN=0, Flags=....R...C"
"128769","161.514278","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1864, FN=0, Flags=....R...C"
"128784","161.529515","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1864, FN=0, Flags=....R...C"
"128822","161.571431","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1864, FN=0, Flags=....R...C"
"128850","161.602201","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1864, FN=0, Flags=....R...C"
"128935","161.699984","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1865, FN=0, Flags=........C"
"128939","161.704196","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1865, FN=0, Flags=....R...C"
"128949","161.714426","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1865, FN=0, Flags=....R...C"
"128963","161.729418","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1865, FN=0, Flags=....R...C"
"128998","161.765579","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1865, FN=0, Flags=....R...C"
"129054","161.828761","Apple_6d:5a:1e","6c:3f:23:e3:70:4a","802.11","83","2412","1","1","1","bc:e1:43:6d:5a:1e","6c:3f:23:e3:70:4a","Authentication","Authentication, SN=1865, FN=0, Flags=....R...C"
"130396","163.329838","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3568, FN=0, Flags=........C"
"130398","163.331578","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3568, FN=0, Flags=....R...C"
"130400","163.334100","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3568, FN=0, Flags=....R...C"
"130406","163.344232","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3568, FN=0, Flags=....R...C"
"130425","163.363509","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3568, FN=0, Flags=....R...C"
"130448","163.388401","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3568, FN=0, Flags=....R...C"
"130457","163.398283","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3568, FN=0, Flags=....R...C"
"130490","163.441197","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3569, FN=0, Flags=........C"
"130495","163.445914","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3569, FN=0, Flags=....R...C"
"130498","163.448674","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3569, FN=0, Flags=....R...C"
"130503","163.454031","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3569, FN=0, Flags=....R...C"
"130519","163.473382","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3569, FN=0, Flags=....R...C"
"130524","163.478791","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3569, FN=0, Flags=....R...C"
"130530","163.485168","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3569, FN=0, Flags=....R...C"
"130557","163.524953","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3570, FN=0, Flags=........C"
"130560","163.527404","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3570, FN=0, Flags=....R...C"
"130564","163.531416","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3570, FN=0, Flags=....R...C"
"130568","163.535592","SamsungE_ec:36:c7","6c:3f:23:e3:70:20","802.11","70","2412","1","1","1","04:d6:aa:ec:36:c7","6c:3f:23:e3:70:20","Authentication","Authentication, SN=3570, FN=0, Flags=....R...C"
"131340","164.402255","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3720, FN=0, Flags=........C"
"131341","164.403490","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3720, FN=0, Flags=....R...C"
"131344","164.407260","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3720, FN=0, Flags=....R...C"
"131347","164.410347","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3720, FN=0, Flags=....R...C"
"131361","164.424797","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3720, FN=0, Flags=....R...C"
"131375","164.440979","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3720, FN=0, Flags=....R...C"
"131403","164.469711","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3720, FN=0, Flags=....R...C"
"131414","164.502672","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3721, FN=0, Flags=........C"
"131416","164.504710","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3721, FN=0, Flags=....R...C"
"131421","164.509247","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3721, FN=0, Flags=....R...C"
"131438","164.525777","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3721, FN=0, Flags=....R...C"
"131452","164.540770","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3721, FN=0, Flags=....R...C"
"131480","164.567431","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3721, FN=0, Flags=....R...C"
"131501","164.624349","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3722, FN=0, Flags=........C"
"131503","164.626522","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3722, FN=0, Flags=....R...C"
"131507","164.630945","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3722, FN=0, Flags=....R...C"
"131514","164.638013","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3722, FN=0, Flags=....R...C"
"131519","164.643187","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3722, FN=0, Flags=....R...C"
"131551","164.677938","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3722, FN=0, Flags=....R...C"
"131584","164.711772","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3723, FN=0, Flags=....R...C"
"131585","164.713536","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3723, FN=0, Flags=....R...C"
"131591","164.719827","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3723, FN=0, Flags=....R...C"
"131603","164.732395","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3723, FN=0, Flags=....R...C"
"131613","164.744480","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3723, FN=0, Flags=....R...C"
"131639","164.773327","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3723, FN=0, Flags=....R...C"
"131648","164.806400","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3724, FN=0, Flags=........C"
"131651","164.809410","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3724, FN=0, Flags=....R...C"
"131653","164.811637","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3724, FN=0, Flags=....R...C"
"131660","164.818651","Apple_0f:70:de","6c:3f:23:e3:70:30","802.11","83","2412","1","1","1","6c:ab:31:0f:70:de","6c:3f:23:e3:70:30","Authentication","Authentication, SN=3724, FN=0, Flags=....R...C"
